rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,female_pct,male_pct,rank_clean
1380,=135,university of hamburg,58.3,1380,46.3,134,47.5,127,77.9,260,98.3,25,58.4,382,Germany,29584.0,58.2,12.0,56 : 44,University of Hamburg,"Accounting & Finance,Chemistry,Computer Science,Archaeology,Education,Communication & Media Studies,Art, Performing Arts & Design,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sociology,Other Health,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Agriculture & Forestry,Psychology,Economics & Econometrics,Physics & Astronomy,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Law,Geography,Business & Management,Sport Science",False,False,56.00000000000001,44.0,135.0
1450,145,autonomous university of barcelona,57.5,1450,43.9,159,36.5,231,92.4,93,41.3,530,62.2,327,Spain,32223.0,12.8,16.0,59 : 41,Autonomous University of Barcelona uab,"General Engineering,Geography,Accounting & Finance,Agriculture & Forestry,Psychology,History, Philosophy & Theology,Other Health,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Electrical & Electronic Engineering,Business & Management,Law,Mathematics & Statistics,Archaeology,Education,Sport Science,Art, Performing Arts & Design,Computer Science,Veterinary Science,Sociology,Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Chemical Engineering,Biological Sciences,Languages, Literature & Linguistics,Medicine & Dentistry,Chemistry,Politics & International Studies (incl Development Studies)",False,False,59.0,41.0,145.0
1540,=153,sant’anna school of advanced studies – pisa,56.6,1540,45.3,141,40.9,180,82.4,203,79.5,92,52.9,461,Italy,737.0,11.9,17.0,38 : 62,Sant’Anna School of Advanced Studies – Pisa,"Accounting & Finance,Electrical & Electronic Engineering,Medicine & Dentistry,Biological Sciences,Other Health,Business & Management,Agriculture & Forestry,Computer Science,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Law",False,False,38.0,62.0,153.0
1620,=161,scuola normale superiore di pisa,56.0,1620,57.7,69,37.6,218,75.7,290,35.2,992,51.0,491,Italy,539.0,6.7,9.0,29 : 71,Scuola Normale Superiore di Pisa,"Economics & Econometrics,Chemistry,Physics & Astronomy,Archaeology,Sociology,Mathematics & Statistics,Languages, Literature & Linguistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Computer Science,History, Philosophy & Theology,Biological Sciences",False,False,29.0,71.0,161.0
1750,175,university of erlangen-nuremberg,55.2,1750,41.5,187,43.5,155,78.6,252,86.9,67,52.4,468,Germany,38368.0,54.9,11.0,49 : 51,University of Erlangen-Nuremberg,"Archaeology,Computer Science,Sport Science,Biological Sciences,Languages, Literature & Linguistics,Economics & Econometrics,Art, Performing Arts & Design,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Chemistry,Law,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Physics & Astronomy,Sociology,Psychology,Other Health,Mechanical & Aerospace Engineering,Education,Accounting & Finance,Geography,Chemical Engineering,Business & Management,General Engineering,Communication & Media Studies",False,False,49.0,51.0,175.0
1780,=176,rutgers university – new brunswick,54.9,1780,45.4,140,44.5,148,77.4,268,39.8,610,50.4,506,United States,44127.0,11.2,16.0,52 : 48,Rutgers University – New Brunswick,"Psychology,Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Medicine & Dentistry,Agriculture & Forestry,Chemical Engineering,Communication & Media Studies,Other Health,Chemistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Business & Management,Electrical & Electronic Engineering,Geography,Architecture,Education,Sport Science,History, Philosophy & Theology,Civil Engineering,Computer Science,Biological Sciences,Politics & International Studies (incl Development Studies)",False,False,52.0,48.0,176.0
1950,=194,paris diderot university – paris 7,53.9,1950,46.4,133,19.5,604,93.1,84,34.0,1240,72.0,231,France,28918.0,15.0,20.0,63 : 37,Paris Diderot University – Paris 7,,False,False,63.0,37.0,194.0
2030,201–250,university of barcelona,49.5–53.0,2030,37.7,248,32.3,286,85.1,183,40.1,595,52.6,462,Spain,46002.0,11.9,10.0,62 : 38,University of Barcelona,"Art, Performing Arts & Design,Medicine & Dentistry,Law,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Sociology,Business & Management,Biological Sciences,Communication & Media Studies,Archaeology,Other Health,Psychology,History, Philosophy & Theology,Accounting & Finance,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Education,Chemistry,Economics & Econometrics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemical Engineering,Geography",False,False,62.0,38.0,225.5
2070,201–250,university at buffalo,49.5–53.0,2070,40.7,203,34.6,249,73.1,320,43.3,453,63.8,304,United States,25419.0,17.1,17.0,45 : 55,University at Buffalo,"Architecture,Communication & Media Studies,Education,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,General Engineering,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Chemistry,Accounting & Finance,Civil Engineering,Mathematics & Statistics,Medicine & Dentistry,Biological Sciences,Politics & International Studies (incl Development Studies),Business & Management,Law,Geography,Languages, Literature & Linguistics,Other Health,Sport Science,Art, Performing Arts & Design,Computer Science,Agriculture & Forestry,Sociology",False,False,45.0,55.00000000000001,225.5
2120,201–250,école des ponts paristech,49.5–53.0,2120,40.1,215,25.6,420,76.8,272,59.8,207,82.7,136,France,1943.0,13.4,47.0,31 : 69,École des Ponts ParisTech,"General Engineering,Economics & Econometrics,Computer Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Civil Engineering",False,False,31.0,69.0,225.5
2210,201–250,university of kiel,49.5–53.0,2210,30.9,410,27.0,388,92.8,88,34.0,1225,54.1,436,Germany,25957.0,22.2,8.0,53 : 47,University of Kiel,"Communication & Media Studies,History, Philosophy & Theology,Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Biological Sciences,Archaeology,Mathematics & Statistics,Civil Engineering,General Engineering,Physics & Astronomy,Education,Chemistry,Law,Psychology,Agriculture & Forestry,Computer Science,Sport Science,Chemical Engineering,Mechanical & Aerospace Engineering,Business & Management,Sociology,Economics & Econometrics,Geography,Accounting & Finance,Art, Performing Arts & Design,Medicine & Dentistry,Electrical & Electronic Engineering",False,False,53.0,47.0,225.5
2260,201–250,university of massachusetts,49.5–53.0,2260,36.6,268,28.7,352,89.5,124,50.0,310,58.4,383,United States,59906.0,12.8,14.0,48 : 52,University of Massachusetts,"Medicine & Dentistry,Sport Science,Sociology,Communication & Media Studies,Agriculture & Forestry,Art, Performing Arts & Design,Architecture,Other Health,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Psychology,Geography,Electrical & Electronic Engineering,General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Law,Chemistry,Chemical Engineering,Archaeology,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Business & Management,Economics & Econometrics,Politics & International Studies (incl Development Studies),Biological Sciences,Computer Science,Education,Veterinary Science",False,False,48.0,52.0,225.5
2370,201–250,rcsi university of medicine and health sciences,49.5–53.0,2370,30.7,417,24.5,449,91.3,102,45.7,395,91.5,70,Ireland,2202.0,19.1,68.0,,RCSI University of Medicine and Health Sciences rcsi,"Other Health,Medicine & Dentistry",False,False,,,225.5
2510,201–250,yonsei university (seoul campus),49.5–53.0,2510,50.8,98,51.1,108,50.6,573,97.2,30,56.9,401,South Korea,17875.0,14.7,22.0,46 : 54,Yonsei University (Seoul campus) Yonsei Yon Sei,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Physics & Astronomy,Civil Engineering,History, Philosophy & Theology,Sport Science,Biological Sciences,Computer Science,Law,Geology, Environmental, Earth & Marine Sciences,Education,Languages, Literature & Linguistics,Accounting & Finance,Chemistry,Architecture,Other Health,Mathematics & Statistics,Business & Management,General Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Sociology,Psychology,Communication & Media Studies,Chemical Engineering,Politics & International Studies (incl Development Studies)",False,False,46.0,54.0,225.5
2540,251–300,university of cincinnati – uptown,46.4–49.4,2540,37.2,254,31.0,304,82.6,200,40.5,573,39.8,695,United States,28049.0,20.5,9.0,52 : 48,University of Cincinnati – Uptown,"Electrical & Electronic Engineering,Economics & Econometrics,Education,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Archaeology,Communication & Media Studies,Computer Science,Agriculture & Forestry,Chemistry,Business & Management,Sociology,Psychology,General Engineering,Other Health,Architecture,Geography,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Accounting & Finance,Chemical Engineering,Physics & Astronomy,Art, Performing Arts & Design,Civil Engineering,History, Philosophy & Theology,Mathematics & Statistics,Law",False,False,52.0,48.0,275.5
2660,251–300,indian institute of science,46.4–49.4,2660,56.7,73,51.4,103,41.7,683,50.7,296,20.2,1120,India,4071.0,9.4,1.0,21 : 79,Indian Institute of Science,"Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Chemistry,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Physics & Astronomy,Chemical Engineering",False,False,21.0,79.0,275.5
2700,251–300,university of marburg,46.4–49.4,2700,36.1,283,25.7,419,81.6,212,38.8,666,50.9,493,Germany,25942.0,35.7,10.0,55 : 45,University of Marburg,"History, Philosophy & Theology,Languages, Literature & Linguistics,Mathematics & Statistics,Medicine & Dentistry,Other Health,Sport Science,Chemistry,Politics & International Studies (incl Development Studies),Accounting & Finance,Biological Sciences,Geography,Economics & Econometrics,Law,Archaeology,Computer Science,Physics & Astronomy,Education,Communication & Media Studies,Psychology,Art, Performing Arts & Design,Sociology,Business & Management",False,False,55.00000000000001,45.0,275.5
2720,251–300,university of navarra,46.4–49.4,2720,34.1,322,24.2,457,82.0,211,66.6,161,63.2,311,Spain,10717.0,14.7,20.0,53 : 47,University of Navarra,"History, Philosophy & Theology,Electrical & Electronic Engineering,Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Law,Archaeology,Medicine & Dentistry,Architecture,Biological Sciences,Education,Economics & Econometrics,Politics & International Studies (incl Development Studies),Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Business & Management,Psychology,General Engineering",False,False,53.0,47.0,275.5
2810,251–300,university of são paulo,46.4–49.4,2810,55.9,81,53.5,95,37.0,742,39.5,627,32.7,838,Brazil,82962.0,15.3,4.0,48 : 52,University of São Paulo,"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Physics & Astronomy,Business & Management,Agriculture & Forestry,Accounting & Finance,Medicine & Dentistry,Psychology,Architecture,Veterinary Science,Other Health,Geography,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Mechanical & Aerospace Engineering,Chemistry,Law,Sociology,Biological Sciences,Computer Science,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Economics & Econometrics,Chemical Engineering,Archaeology,Sport Science,History, Philosophy & Theology,Communication & Media Studies,Education",False,False,48.0,52.0,275.5
2980,251–300,virginia polytechnic institute and state university,46.4–49.4,2980,34.8,309,39.8,194,70.2,353,48.2,357,52.4,471,United States,32296.0,18.5,14.0,43 : 57,Virginia Polytechnic Institute and State University virginia tech virginia,"Languages, Literature & Linguistics,General Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Education,Sport Science,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Geology, Environmental, Earth & Marine Sciences,Architecture,Computer Science,Sociology,Archaeology,Geography,Politics & International Studies (incl Development Studies),Chemistry,Veterinary Science,Agriculture & Forestry,Other Health,Physics & Astronomy,History, Philosophy & Theology,Biological Sciences,Medicine & Dentistry,Electrical & Electronic Engineering,Economics & Econometrics,Psychology,Chemical Engineering,Accounting & Finance,Civil Engineering",False,False,43.0,56.99999999999999,275.5
3170,301–350,federal university of toulouse midi-pyrénées,44.0–46.3,3170,31.9,386,30.6,318,64.5,427,37.4,769,72.1,229,France,101658.0,25.0,18.0,52 : 48,Federal University of Toulouse Midi-Pyrénées,"Business & Management,Law,Education,Sociology,Chemical Engineering,Veterinary Science,Architecture,Civil Engineering,Chemistry,Communication & Media Studies,Archaeology,History, Philosophy & Theology,Other Health,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Accounting & Finance,Agriculture & Forestry,Psychology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Computer Science,Sport Science,Physics & Astronomy,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Mechanical & Aerospace Engineering,Mathematics & Statistics,Geography",False,False,52.0,48.0,325.5
3220,301–350,hse university,44.0–46.3,3220,32.8,355,32.7,279,72.7,329,56.6,232,40.5,673,Russian Federation,19527.0,11.3,9.0,,HSE University,"Languages, Literature & Linguistics,Psychology,Computer Science,Biological Sciences,Business & Management,Chemistry,General Engineering,Communication & Media Studies,History, Philosophy & Theology,Civil Engineering,Sociology,Economics & Econometrics,Mathematics & Statistics,Architecture,Electrical & Electronic Engineering,Geography,Law,Politics & International Studies (incl Development Studies),Accounting & Finance,Physics & Astronomy,Art, Performing Arts & Design,Education",False,False,,,325.5
3230,301–350,khalifa university,44.0–46.3,3230,25.3,581,29.1,343,65.3,419,100.0,5,96.4,18,United Arab Emirates,3288.0,8.1,28.0,51 : 49,Khalifa University,"Medicine & Dentistry,Chemistry,General Engineering,Civil Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Physics & Astronomy,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering",False,False,51.0,49.0,325.5
3310,301–350,university of galway,44.0–46.3,3310,27.5,510,30.9,310,71.9,335,44.9,411,80.5,156,Ireland,13888.0,26.8,18.0,57 : 43,University of Galway nui nui galway,"Physics & Astronomy,General Engineering,Business & Management,Civil Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Education,Art, Performing Arts & Design,Other Health,Politics & International Studies (incl Development Studies),Biological Sciences,Psychology,Mathematics & Statistics,Chemistry,History, Philosophy & Theology,Sociology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mechanical & Aerospace Engineering,Economics & Econometrics,Agriculture & Forestry,Communication & Media Studies,Law,Languages, Literature & Linguistics,Accounting & Finance,Geography,Archaeology",False,False,56.99999999999999,43.0,325.5
3330,301–350,university of new mexico (main campus),44.0–46.3,3330,27.8,498,32.0,291,78.7,250,37.3,780,32.0,848,United States,21506.0,18.8,5.0,55 : 45,University of New Mexico (Main campus),"Mechanical & Aerospace Engineering,Biological Sciences,Other Health,Economics & Econometrics,Sociology,Education,Law,Geography,Medicine & Dentistry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,General Engineering,Psychology,Mathematics & Statistics,Sport Science,Art, Performing Arts & Design,Business & Management,Communication & Media Studies,Chemistry,Languages, Literature & Linguistics,Architecture,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy",False,False,55.00000000000001,45.0,325.5
3560,351–400,autonomous university of madrid,41.7–43.9,3560,33.9,326,28.4,361,64.8,424,37.8,734,51.1,485,Spain,29532.0,13.4,14.0,59 : 41,Autonomous University of Madrid,"Business & Management,Law,Geography,Languages, Literature & Linguistics,Chemistry,Medicine & Dentistry,General Engineering,Sociology,History, Philosophy & Theology,Sport Science,Accounting & Finance,Communication & Media Studies,Biological Sciences,Art, Performing Arts & Design,Computer Science,Mathematics & Statistics,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Archaeology,Other Health,Psychology,Education,Physics & Astronomy",False,False,59.0,41.0,375.5
3720,351–400,university of innsbruck,41.7–43.9,3720,26.7,531,19.9,585,71.1,346,43.7,443,97.4,14,Austria,14524.0,13.0,39.0,54 : 46,University of Innsbruck,"Chemical Engineering,Architecture,Psychology,Computer Science,Communication & Media Studies,Sociology,Physics & Astronomy,Archaeology,Economics & Econometrics,Electrical & Electronic Engineering,Chemistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Law,Accounting & Finance,Business & Management,Sport Science,General Engineering,Education,Geography,Mathematics & Statistics,Civil Engineering,History, Philosophy & Theology,Other Health,Biological Sciences",False,False,54.0,46.0,375.5
3750,351–400,justus liebig university giessen,41.7–43.9,3750,34.9,307,33.0,274,59.3,499,40.7,559,53.3,452,Germany,28389.0,47.0,9.0,61 : 39,Justus Liebig University Giessen,"Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),Law,Agriculture & Forestry,Geography,History, Philosophy & Theology,Art, Performing Arts & Design,Psychology,Languages, Literature & Linguistics,Computer Science,Education,Sport Science,Biological Sciences,Medicine & Dentistry,Business & Management,Sociology,Accounting & Finance,Economics & Econometrics,Mathematics & Statistics,Chemistry,Physics & Astronomy",False,False,61.0,39.0,375.5
